"Book_ID","Title","Release_Date","Location"
83207534,"BARBARIAN OF WORLD'S END, THE (paperback)",1977,???
83553429,Final Harvest,1961,???
83694333,BEACHHEADS IN SPACE,1957,???
83937837,The Trojan War,1957,???
86167820,Final Harvest - Emily Dickinson's Poems,1961,???
86460727,Atlantis: The Antedivulian World--a Modern Revised Edition,1949,???
88124996,Return to Walden West,1970,???
88289157,Harrigan's File,1975,???
88327549,THE QUEST OF KADJI,1972,???
88327553,THONGOR AND THE DRAGON CITY,1976,???
88327561,THE WARRIOR OF WORLD'S END,1974,???
92560776,Flashing Swords! #1,1973,???
93651659,Lost World of Time,1969,???
93651687,Thonger at the End of Time,1968,???
93782038,Charlemagne or Romance of the Middle Ages,1896,???
94519855,The Wizard of Lemuria,1965,???
94519859,The Man Who Loved Mars,1973,???
94519861,Sky Pirates of Callisto,1973,???
94682126,EGYPTIAN LANGUAGE Easy Lessons in Egyptian Hieroglyphics,1963,???
94990121,Flashing Swords! #1,1973,???
95933827,The Warrior of World's End,1974,???
95982329,Thongor Fights the Pirates of Tarakus,1970,???
96377151,Flashing Swords! #2,1973,???
96613293,Constable's Miscellany Vol. XXXV History of the Revolutions in Europe Vol. III [volume 3 only].,1828,???
96728543,"Zarkon, Lord of the Unknown in Invisible Death, A Case From The Files of Omega",1975,???
96728547,"Zarkon, Lord Of The Unknown In The Volcano Ogre, A Case From The Files of Omega",1976,???
97143634,The Nemesis from Terra,1961,???
98016620,Bolts of Melody: New Poems of Emily Dickinson,1945,???
98082467,THE SWORD OF RHIANNON,1967,???
98082475,LEGEND OF LOST EARTH/ALPHA CENTAURI OR DIE!,1963,???
98716627,The Nemesis from Terra,1961,???
99434603,TIME TO COME Science Fiction Stories of Tommorrow,1965,???
99706731,Egyptian Language,1966,???
104346672,ORBIT SCIENCE FICTION #1,1954,???
104810526,"100 Books by August Derleth",1974,???
104990066,Sardonic Humor of Ambrose Bierce,1963,???
105112880,"The Age of Chivalry, Or Legends of King Arthur",1884,???
107350406,"Tutankhamen : Amenism, Atenism & Egyptian Monothesim",,???
108755552,Tarzan #7: Tarzan the Untamed,1972,???
114761838,"How in the Night the Wind' - first publication in Decade, Vol. 2, No. 2",1940,???
118080872,"Die Geheimlehre. Das heilige Buch der Theosophischen Brüderschaft. Herausgeber und Übersetzer: Dr. Victor Eckert.,",1958,???
118335126,"AGE OF FABLE, THE: STORIES OF GODS AND HEROES",,???
119929444,NEW WORLDS FOR OLD,1963,???
119956640,TIME WAR,1974,???
121220168,Bulfinch's Mythology,1948,???
122559422,FEAR NO EVIL (aka THE TIGER AMONG US),1960,???
125079360,The Book Of The Dead.,1960,???
126034900,The Hills Stand Watch,1960,???
126617262,TIME TO COME,1963,???
127092684,"Bulfinch's Mythology, Age of Fable, Age of Chivalry, legends of Charlemagne",1913,???
129127630,Bolts Of Melody,1945,???
132132764,Ignatius Donnelly: The Portrait of a Politician (with account of his work on Atlantis),1962,???
132528312,Favorite Poems of Emily Dickinson,1978,???
133460406,Doctor Huguet.,1891,???
137943804,BULFINCH'S MYTHOLOGY: The Age of Fable. With a Foreword by Robert Graves,1968,???
140933246,The Lost Continent,1972,???
145641248,MAGAZINE OF HORROR #24,1968,???
149786114,Charlemagne or Romance of the Middle Ages,1896,???
152665796,People of the Talisman and The Secret of Sinharat,1964,???
153158340,A Wisconsin Harvest,1966,???
153620084,"Night's Yawning Peal 8 Tales of Horror and Possession by Masters of the Macabre, Including The Case of Charles Dexter Ward' by H.P. Lovecraft",,???
155172594,Beyond the Gates of Dream,1969,???
155972280,SHE BEING DEAD YET SPEAKETH And Twelve Other Articles,1959,???
155975488,ATLANTIS The Antediluvian World,1950,???
155975492,ATLANTIS The Antediluvian World,1950,???
157218794,Bright Journey,1940,???
157948480,THE GREAT CRYPTOGRAM:; Francis Bacon's cipher in the so-called Shakespeare plays,1888,???
161605164,"Scandinavia, Ancient and Modern; Being a History of Denmark, Sweden, and Norway: Comprehending a Description of these Countries. . . 1-2.",1838,???
162989878,"Mythology of Greece and Rome, with Eastern and Norse Legends",1962,???
164668252,Tolkien: a Look behind 'the lord of the rings',1978,???
167542746,Bulfinch's Mythology,1968,???
167931972,Bolts of Melody: New Poems of Emily Dickinson,1945,???
168057808,PEOPLE OF THE TALISMAN/THE SECRET OF SINHARAT.,1964,???
168392700,The Ginger Star (Eric John Stark),1976,???
172778114,Empire of Fur Trading in the Lake Superior Region,1953,???
174123078,BEST SUPERNATURAL STORIES OF H. P. LOVECRAFT,1945,???
178644568,The Age of Fable,1942,???
179316482,THE ROSETTA STONE.,1955,???
181882894,"The Age of Chivalry and Legends of Charlemasgne, or Romance of the Middle Ages",1962,???
184291816,BULFINCH'S MYTHOLOGY: THE AGE OF FABLE; THE AGE OF CHIVALRY; LEGENDS OF CHA RLEMAGNE (COMPLETE IN ONE VOLUME),1913,???
184854492,Tarzan the Terrible,1969,???
186032294,"Favorite Poems of Emily Dickinson. by Dickinson, Emily .",,???
186741428,Black Legion of Callisto,1975,???
186741430,Sky Pirates of Callisto,1975,???
188965348,TOLKIEN : A LOOK BEHIND THE LORD OF THE RINGS,1978,???
189472654,Tolkien: A Look Behind the Rings,1969,???
196947339,The Wizard of Lemura,1965,???
196981282,A House Above Cuzco,1969,???
197729822,Ragnarok : The Age of Fire and Gravel,1970,???
198023592,Tower at the Edge of Time,1972,???
198587381,THE REAVERS OF SKAITH,1976,???
200489648,LEGENDS OF CHARLEMAGNE,,???
200669937,WEIRD TALES MAY 1949,1949,???
200670575,WEIRD TALES JANUARY 1949,1949,???
202545686,Bulfinch's Mythology,1968,???
202569880,RAGNAROK: THE AGE OF FIRE AND GRAVEL,1883,???
203139294,"A General Introductory Guide to the Egyptian Collections in the British Museum,",1930,???
203652682,Columbus and the New World,1957,???
203987274,"Scandinavia, Ancient and Modern; Being A History of Denmark, Sweden and Norway: Comprehending A Description of These Countries; An Account of the Mythology, Government, Laws, Manners and Institutions of the Early Inhabitants; and of the Present State of",1838,???
204769205,The Year's Best Fantasy Stories 3,1977,???
204909201,"The Golden Bottle Or, the Story of Ephraim Benezet of Kansas",1893,???
205518404,BEACHHEADS IN SPACE,1957,???
206516948,Fantastic Stories Magazine Vol.5 No.2 March 1953 (Shadow Over Mars; The Best Laid Scheme; Baby Face; Hero; The War of the Weeds; Death Ship; Too Bad You Died),1953,???
206691317,Sky Pirates of Callisto,1974,???
206835290,Abridgement of the Secret Doctrine,1968,???
207138180,"AND YOU, THOREAU!",1944,???
207666135,People of the Talisman / The Secret of Sinharat,1964,???
208647507,"Great Cryptogram, The: Francis Bacon's Cipher in the So-Called Shakespeare Plays",1888,???
210090564,The Country of the Hawk,1952,???
210616762,"History of Arabia, Ancient and Modern: Containing a Description of the Country An Account of its Inhabitants.the Conquests, Arts, and Literature of the Saracens, The Caliphs of Damascus, Bagdad.Government and Religious Ceremonies of the Modern Arabs.Ins",1834,???
214566439,The Age of Fable or Stories of Gods and Heroes,1958,???
215104607,WALDEN WEST,1961,???
216354280,The Best of Edmond Hamilton,1977,???
219241498,THE OFFWORLDERS/THE STAR MAGICIANS,1966,???
219907698,The Book of the Dead,1960,???
224140372,BULFINCH'S MYTHOLOGY,1966,???
224408800,The Age Of Fable Or The Beauties Of Mythology,1942,???
224743286,THONGOR AND THE WIZARD OF LEMURIA,1976,???
225137188,The Mummy,1974,???
226751724,Mad Empress of Callisto,1975,???
226751730,Thongor and the Wizard of Lemuria,1976,???
228467616,The Shadow in the Glass,1964,???
230905570,Bright Journey,1940,???
231229984,The Best of Leigh Brackett,1977,???
241899954,"Emerson, Our Contemporary",1970,???
242855190,"Agatha Chrisie, Third Girl",1968,???
242855194,"Agatha Chrisie, Towards Zero",1947,???
246952112,TIME TO COME,1958,???
247498168,Pullucidar,1972,???
248100776,The Gods of the Egyptians Volume 2,1969,???
248222574,Tolkien: A Look Behind the Lord of the Rings,1970,???
248689686,Time to Come,1964,???
249091258,RESTLESS IS THE RIVER,1939,???
252703162,The Thief of Thoth & Others Shall be Born,1968,???
254659082,The Adventure of the Red Leech,1966,???
255080720,FAR BOUNDARIES,1965,???
256397212,THE WIZARD OF LEMURIA,1965,???
258213710,"Age of Chivalry or, King Arthur and His Knights",1900,???
259393306,Mythology,1963,???
259427130,TOLKIEN: A LOOK BEHIND THE LORD OF THE RINGS,1969,???
261681624,Ragnarok: The Age Of Fire And Gravel.,1885,???
263925654,People of the Talisman The Secret of Sinharat Ace Double M-101,1964,???
268903016,"Scandinavia, Ancient And Modern; Being A History of Denmark, Sweden, And Norway Etc. In Two Vols",1838,???
273259618,Beyond the Gates of Dream,1969,???
275352520,BEACHHEADS IN SPACE,1964,???
275352524,THE TIME OF INFINITY,1963,???
275352526,WORLDS OF TOMORROW,1963,???
276708030,Flashing Swords! *4: Barbarians and Black Magicians,1977,???
277299648,The Age of Fable,1942,???
284059618,Egyptian Religion: Egyptian Ideas of the Future Life,1959,???
284622700,The Poets' Log Book. Fifth Voyage. (Vol.2. No.1). An Anglo-American Quarterly of Verse. (Poetry Editor: V. W. Hess).,1947,???
284622706,"The Poets' Log Book. Third Voyage. Spring 1947. (Vol.1, No.3). A Quarterly of Verse. (Poetry Editor: V. W. Hess).",1947,???
286376596,THE SECRET OF SINHARAT / PEOPLE OF THE TALISMAN,1964,???
286507092,In The Midst of Life,1961,???
292831282,ATLANTIS: THE ANTEDILUVIAN WORLD,1949,???
293243334,The Hound of the Baskervilles,1967,???
295444012,The Chronicles of Solar Pons.,1973,???
297204242,The Year's Best Fantasy Stories: 2,1976,???
298886686,Walden West,1961,???
300673692,THE BIG JUMP,1955,???
300775032,The Metal Monster,1976,???
303692372,The Age of Fable,1942,???
305678856,THONGOR AND THE PIRATE CITY,1970,???
308245304,The Ginger Star (Eric John Stark #1),1974,???
308245306,The Hounds of Skaith (Eric John Stark #2),1974,???
308245308,The Reavers of Skaith (Eric John Stark #3),1976,???
308245316,The Big Jump,1976,???
308391950,THE MAGAZINE OF FANTASY AND SCIENCE FICTION JULY 1953,1953,???
308405492,FICTION #54,,???
308848486,"Atlantis - The Antediluvian World, A Modern Revised Edition",1949,???
309161378,The Mummy,1974,???
312114590,Astonishing Stories 1943 Vol. 4 # 3 February,1943,???
312224938,EGYPTIAN LANGUAGE Easy Lessons in Egyptian Hieroglyphics with Sign List,1966,???
313984490,Egyptian Language; Easy Lessons in Egyptian Hieroglyphics with Sign List,1966,???
316371282,The Shadow in the Glass,1964,???
316920310,The Age of Fable,1965,???
327683596,TALES OF SOLDIERS & CIVILIANS.,1943,???
327939150,Invisible Death,1975,???
331786960,Far Boundaries,1967,???
332500200,Doomsman / The Thief of Thoth,1972,???
333919388,THE BEST OF EDMOND HAMILTON,1977,???
334872266,Pengevaesen Og finanser; Grundbod for Studiekredse,1941,???
344406900,A Boy's Way,1947,???
346777536,The Big Jump,1955,???
355605560,The Shadow in the Glass,1964,???
362354714,The GINGER STAR,1974,???
362354844,The COMING Of The TERRANS,1967,???
363677716,"THE SATANISTS; THE SATANIS MASS, THE SANCTUARY, ANCIENT SORCERIES, THE FESTIVAL, THE WATCHER FROM THE SKY, THE BLACK MOUNTIAN, THE INITIATION, THE BOOK, NO NEWS TODAY, SPAWN OF THE DARK ONE, BLACK MAGIC BATTLE IN THE CHURCH",1972,???
367727694,Bulfinch's Mythology: The Age of Chivalry,1968,???
369221706,Danske topografiske exlibris,1970,???
372101460,CONAN #12- CONAN OF THE ISLES,1968,???
372101494,CONAN # 2 - THE LIBERATOR,1979,???
374012430,FLASHING SWORDS! #2,1974,???
375617382,Der Weg nach Sinharat,1977,???
381789252,THE ARKHAM COLLECTOR,1971,???
381789254,THE ARKHAM COLLECTOR,1971,???
381789256,THE ARKHAM COLLECTOR,1969,???
381789258,THE ARKHAM COLLECTOR,1970,???
381789264,THE ARKHAM COLLECTOR,1971,???
381789266,THE ARKHAM COLLECTOR,1970,???
381789268,THE ARKHAM COLLECTOR,1969,???
386334032,"The Dwellers on the Nile: The Life, History, Religion and Literature of the Ancient Egyptians",1977,???
389426132,The Golden Age of Myth and Legend,1919,???
397458844,Age of Fable or the Beauties of Mythology,1942,???
397777360,The Return of Solar Pons (# 6),1975,???
401064106,FANTASTIC AUGUST 1976,1976,???
401064196,FANTASTIC SEPTEMBER 1966,1966,???
401064296,FANTASTIC OCTOBER 1975,1975,???
403146236,GREAT SCIENCE FICTION #11,1968,???
403146240,SCIENCE FICTION CLASSICS #1,1967,???
408701562,WORLDS OF IF JANUARY-FEBRUARY 1974,1974,???
416768812,THE STARMEN,,???
416818656,TOLKIEN: A LOOK BEHIND THE LORD OF THE RINGS,1969,???
417289862,The Age of Chivalry and Legends of Charlemagne (or Romance of the Middle Ages),1962,???
428174396,"Planet Stories, volume 6, # 9 Winter 1954 - 55 ( Teleportress of Alpha C; The Vanisher; the Grave of Solon Regh; Bottom is Up; the Recluse; Life of a Salesman; the Ultimate Eve; the Vizigraph",1954,???
429337182,A LETTER TO JUDITH,1959,???
434818342,"DEVIL'S DICTIONARY, THE: A SELECTION OF THE BITTER DEFINITIONS OF AMBROSE BIERCE",1958,???
448232470,The A. B. C. Murders.,1976,???
458628568,"History of Arabia, Ancient and Modern. And a Comprhensive View of Its Natural History. Volume 1.",,???
462217850,When the Green Star Calls,1973,???
465116642,From other worlds,1964,???
468970560,"Tutankhamen: Amenism, Atenism and Egyptian Monotheism",,???
500778315,The Icleand Fisherman,,???
500996707,Love Poems,,???
510203926,"The Saint Mystery Magazine 1961 Vol. 15, No. 1 September",1961,???
