"Book_ID","Binding","Grade"
308405492,soft cover,fair
308848486,hardcover,fine / like new
309161378,cloth / hardboard,fine / like new
312114590,soft cover,fine / like new
312224938,hardcover,fine / like new
313984490,hardcover,fine / like new
316371282,hardcover,fine / like new
316920310,paperback,fine / like new
327683596,hardcover,fine / like new
327939150,hardcover,fine / like new
331786960,soft cover,fine / like new
332500200,paperback,good
333919388,hardcover,
334872266,soft cover,
344406900,hardcover,poor
346777536,paperback,
355605560,hardcover,fine / like new
362354714,wraps,fine / like new
362354844,wraps,fine / like new
363677716,paperback,fine / like new
367727694,hardcover,fine / like new
369221706,cloth / hardboard,
372101460,paperback,fine / like new
372101494,paperback,fine / like new
374012430,soft cover,
375617382,unknown binding,fine / like new
381789252,,
381789254,,
381789256,,
381789258,,
381789264,,
381789266,,
381789268,,
386334032,soft cover,fine / like new
389426132,hardcover,fine / like new
397458844,cloth / hardboard,fine / like new
397777360,soft cover,fine / like new
401064106,soft cover,good
401064196,soft cover,good
401064296,soft cover,good
403146236,soft cover,good
403146240,soft cover,good
408701562,soft cover,good
416768812,hardcover,
416818656,paperback,fine / like new
417289862,paperback,fine / like new
428174396,unknown binding,fine / like new
429337182,soft cover,
434818342,hardcover,
448232470,soft cover,good
458628568,leather,fine / like new
462217850,paperback,fine / like new
465116642,,good
468970560,hardcover,fine / like new
500778315,,
500996707,hardcover,fine / like new
510203926,soft cover,good
510434364,hardcover,
513196408,soft cover,
516196401,paperback,fine / like new
523253801,soft cover,
533571267,hardcover,
535558563,paperback,near fine
541789791,cloth / hardboard,fair
544088755,soft cover,fine / like new
544738311,hardcover,
544738317,hardcover,
545240461,hardcover,
546832945,hardcover,fine / like new
549661597,hardcover,fine / like new
561310790,cloth / hardboard,fine / like new
584218320,hardcover,
585714459,paperback,good
585714466,paperback,near fine
586706972,soft cover,
586795362,paperback,fine / like new
587410150,soft cover,near fine
589259379,soft cover,fine / like new
597298527,hardcover,fine / like new
597753487,hardcover,fine / like new
599227931,,
603131527,hardcover,
603144474,hardcover,
607648076,cloth / hardboard,good
609409907,,near fine
609539036,cloth / hardboard,fine / like new
616044899,paperback,fine / like new
618303378,hardcover,fine / like new
619688794,paperback,good
621772660,paperback,fine / like new
622094803,,fair
622346719,soft cover,fine / like new
624547746,hardcover,
628538837,paperback,near fine
632782597,paperback,fine / like new
633199459,no binding,
639331154,hardcover,
641902420,soft cover,good
646683402,,
654046371,hardcover,near fine
663419831,soft cover,fine / like new
668694395,,fair
668798517,soft cover,fine / like new
679028930,soft cover,
684210019,hardcover,fine / like new
685589763,hardcover,
685643996,soft cover,good
693211832,hardcover,good
693244008,hardcover,
693433208,paperback,near fine
696365455,soft cover,fine / like new
720184571,paperback,fine / like new
720784757,paperback,fine / like new
724617700,hardcover,
724618007,hardcover,
725518600,paperback,fine / like new
725518601,paperback,fine / like new
731552263,soft cover,
732859854,hardcover,fine / like new
733629620,soft cover,fair
735308510,hardcover,
744252203,paperback,poor
744381506,,fair
749002592,paperback,good
755646723,cloth / hardboard,fine / like new
758139714,paperback,good
758566054,soft cover,poor
758566061,soft cover,fine / like new
758781815,paperback,good
759353115,soft cover,
760022861,hardcover,fine / like new
760373109,paperback,good
760983711,unknown binding,
761348960,hardcover,fine / like new
765765850,,good
765765851,,fair
767170136,hardcover,good
767192230,hardcover,fine / like new
770023534,soft cover,
773216652,paperback,fine / like new
776876776,soft cover,fine / like new
778977190,paperback,fine / like new
780275740,,fine / like new
792263721,soft cover,
792263735,soft cover,
794438923,paperback,fine / like new
794446109,wraps,fine / like new
794447540,magazine,fine / like new
802060872,cloth / hardboard,fine / like new
804133190,,
806147341,paperback,fine / like new
806675088,soft cover,fine / like new
807199071,,
807200498,hardcover,
808361870,,fair
808461985,,fair
808477195,hardcover,
808913060,hardcover,fine / like new
811555848,soft cover,fine / like new
815969151,hardcover,fine / like new
817963113,paperback,fine / like new
820457780,soft cover,fine / like new
821217069,cloth / hardboard,fine / like new
