"Book_ID","Language"
846020490,English
847181155,English
847181158,English
847860292,English
847860331,English
850183995,English
850316676,English
850832649,English
853088426,English
853252347,English
853252366,English
853260977,English
853271988,English
853284712,English
853492556,English
853772835,English
858519502,English
858878682,English
863143993,English
863170238,French
863170239,French
863170290,French
865301163,English
865303154,English
871522224,English
871893707,English
871922545,English
877402989,English
878378547,English
879495102,English
880572285,English
882267978,English
882270242,English
883261512,English
885795753,English
886780125,English
887444363,English
890942888,English
893249769,English
893806131,English
896656915,English
897560422,English
897912754,English
898001281,English
898001305,English
900502483,English
900502490,English
900530144,English
900553372,English
901968340,English
902321458,English
903107586,English
905247349,English
910081388,English
912915344,English
917611974,English
918148811,English
918920774,English
918921099,English
919045129,English
920392712,English
920917862,English
925276539,English
927977128,English
928649763,English
931734909,English
932020316,English
936183263,English
936865316,English
937523538,English
938435905,English
941021824,English
942016599,English
944274018,English
944760790,English
947110148,English
949617917,English
955684999,English
956089504,English
958983259,English
959389199,English
964470310,English
968846416,English
970742165,English
973902063,English
975731939,English
976636390,English
977917382,English
978561800,English
984123357,English
984123363,English
984502876,English
985236457,English
987184342,English
987184359,English
988184408,English
989012211,English
991503799,English
993818640,English
995951978,English
997539071,English
998140904,English
998637035,English
1001004661,English
1002048565,English
1002206963,English
1002643568,English
1005238428,English
1006601866,English
1006965354,English
1007885721,English
1008300612,English
1008582606,English
1008848992,English
1014249481,English
1014397067,English
1014937727,English
1014957855,English
1017781630,English
1020963208,English
1021583698,English
1022547207,English
1023027183,English
1025548184,English
1026835281,English
1026868295,English
1028273705,English
1028770198,English
1031685420,English
1036123931,English
1036460214,English
1038427768,English
1038934643,English
1039445753,English
1040848197,English
1041636404,English
1041647386,English
1042246748,English
1046695037,English
1046762509,English
1047913592,English
1050076925,English
1054562001,English
1055037012,English
1058066057,English
1060238183,English
1071473868,English
1072664671,English
1076729864,English
1076999843,English
1077075237,English
1079963639,English
1083466282,English
1091594701,English
1094685496,English
1097515163,English
1101343315,English
1101879174,English
1102094449,English
1102141209,English
1112113673,English
1112938151,English
1115359369,English
1116717860,English
1116721741,English
1128066401,English
1128435369,English
1137950842,English
1139478956,English
1141989696,English
1144957912,English
1155180904,English
1155225701,English
1156131012,English
1156131364,English
1156641185,English
1157180366,English
1157181329,English
1157181464,English
1157901907,English
