"Name","Number_of_Books"
C.J. Cutliffe Hyne,2
Caitlin Matthews,1
Calvin Beck,1
Carit Andersen,1
Carlo Fruttero,1
Carol Costello,1
Carole Marsh,2
Caroline Leavitt,2
Carolyn E. Moore Ph.D. R.D. L.D. C.N.S.D.,1
Carter,1
Carter Dickson,1
Carter Lin,6
Carter Lin:,1
Carys Cragg,3
Catherine Austen,1
Cecilia Dart-Thornton,1
Cele Goldsmith,4
Chad Oliver,5
Charles,9
Charles Beaumont,1
Charles Busoni Dickens,1
Charles Charles Dickens,1
Charles Cloukey,4
Charles Dickens,491
Charles Dickens Edgar Allan Poe,6
Charles Dickens Sherri Browning Erwin,1
Charles Dickens.,1
Charles Fort,22
Charles Mills Gayley,2
Charles Q. Bufe,2
Charles R. Tanner,1
Charles Scribner,1
Charles Wimberly Lowry,1
Charles) Merchant (Dickens,1
Charles-Dickens,5
Charles. Illustrated By Mary Petty Dickens,2
Charlotte Bronte Charlotte Brontë,1
Charlotte E. Guest,2
Children'S Classics Edgar Rice Burroughs,1
Choisis,1
Chr. De Koch,8
Chris Crutcher,10
Chris Gabrysch,1
Christen Andersen,1
Christian Lisse Poul Andersen,1
Christie Agatha,12
Christina Rossetti Robert Louis Stevenson,2
Christine Cotting,1
Christine M. Rosner Rn Phd Anne-Marie Kiehne Rn Msn,1
Christoper William Koch,1
Christophe Guillaume De Koch,2
Christopher Holme,2
Christopher Tolkien J.R.R. Tolkien,3
Christopher William. Trans. Andrew Crichton. Continuation By M. Schoell. Koch,1
Claire Throp,1
Clare Winger Harris,7
Clare Winger/ Ricca Harris,2
Clark Ashton / Kline Smith,2
Clark Ashton Smith,11
Clayton Rawson,1
Clifford Ashdown,1
Collected),1
Compiled By Rupert,1
Conan Doyle,21
Cor),2
Cordwainer Smith,1
Cornell Woolrich,3
Cover Art By Alex Schomburg),1
Craig Browning,3
Crichton,2
Crichton Andrew,48
Crichton Andrew.,2
Cynthia Rowley,1
D Allen Morrisey,1
D. Thin,1
Damon Knight,11
Daniel Defoe,14
Darrel Greene,2
David Campton,1
David Drake,3
David Eastman,1
David Grinnell,2
David Grinnell Philip E. High,3
David Taylor,1
Davies. L.P.,1
De Camp,47
De Castro,1
Dean Mclaughlin,1
Default,1
Derleth,4
Derleth August,27
Derleth.August,1
Diana Attias,1
Diana Marcellas,1
Diana Tixier Herald,1
Dickens Charles,8
Dickens The Mystery Of Edwin Drood,1
Dickens-Charles,5
Dickinson Emily,2
Dickinson Sappho,1
Dirk Wylie,2
Disney Book Group,1
Domingo Santos H. G. Wells,1
Don Wilcox,4
Donald A. Wollheim,5
Donald M. Grant,1
Donald Wollheim,1
Donnelly,1
Donnelly Ignatius,39
Donnelly Ignatius Author.,1
Donnelly Ignatius Donnelly,1
Dorothy A. Palmer Raymond L. Lee,1
Dorothy Quick Francis Flagg),1
Douglas Lambert,2
Douglas R.,1
Dover Thrift Editions,7
Doyle Arthur Conan,7
Drake,3
Dwina Murphy-Gibb,1
E A Wallis Budge,45
E A Wallis Budge.,2
E A. Wallis Budge,1
E C Tubb H J Campbell,5
E Hoffmann Price With H P Lovecraft,2
E Wallis Budge,1
E. A Wallis Budge,5
E. A Wallis Budge Budge,1
E. A Wallis Ernest Alfred Wallis Budge,1
E. A. W. Budge,2
E. A. Wallis + Mchague + Drimmer Budge,1
E. A. Wallis Budge,292
E. A. Wallis Budge Ernest Alfred Thompson Wallis Budge,2
E. A. Wallis Budge John Patrick Crichton,1
E. A. Wallis Budge M. A.,2
E. A. Wallis Budge Sir,1
E. A. Wallis. Budge,9
E. A.Wallis Budge,1
E. C. Tubb,1
E. Daeniken Eric Von (Daniken,1
E. E. Smith,1
E. F. Bleiler,6
E. Hoffman Price,1
E. Randall Floyd,1
E. Wallis Budge,16
E. Wallis. Budge,1
E.A Wallis-Budge,1
E.A. Wallis Budge,54
E.A. Wallis. Budge,8
E.A.Wallis Budge,7
E.A.Wallis Budge E.A.Wallis Budge,4
E.F. Benson,1
Earnest A. Wallis Budge,4
Ebbe Sadolin,2
Ed Bryant,1
Ed Donald A Wollheim,1
Ed Mcbain,1
Ed),1
Ed) M. R. James,1
Ed. August Derleth,2
Ed.),23
Edgar Allan Poe,9
Edgar Allan. Poe,1
Edgar Rice,1
Edgar Rice Burrough,1
Edgar Rice Burroughs,781
