"Name","Number_of_Books"
Orson Scott,1
Orwell George,2
Orwell Sparknotes,3
Oscar Friend,1
Oscar Wilde,22
Oswald Spengler,10
Otto Binder,1
Otto Willi Gail,1
Outlet Book Company Staff,3
Owen Dudley Edwards Arthur Conan Doyle,2
P. Nyboe Und Poul Dam Andersen,1
Pachomius Pachomius,2
Palmer Raymond,5
Pamela / Spinrad Clement / Sargent,1
Paolo Sedazzari,1
Patricia Rosemoor,1
Paul Bradley Sterman,1
Paul Fairman,1
Paul Groves,1
Paul Hutchens,1
Paul Lawrence Payne,1
Paul Park,1
Pedro Antonio De Alarcón,1
Peter Haining,3
Peter Ruber,1
Peter S. Beagle,4
Petronova Helena. Blavatsky,1
Petrovna Blavatsky Helena,2
Philip E / David Grinnell High,1
Philip E High,1
Philip E. High,3
Philip K Dick,1
Philip K Dick Anthology Edited By August Derleth,3
Philip K. / Derleth Dick,1
Philip K. Dick,6
Philip MacDonald,1
Pierre Loti,22
Pierre P. Loti-Viaud,1
Pierre Pêcheur D'Islande Loti,1
Pierre Sipriot La Table Ronde,1
Planet Stories),2
Plymouth Public Library Staff Arthur Conan Doyle,1
Polidori John William,1
Poole Sophia Lane,4
Potter Gift,1
Poul / Bradbury Anderson,1
Poul A. Andersen,3
Poul Andersen,19
Poul Andersen Medelby,4
Poul Andersen.Ved,1
Poul Anderson,11
Poul Carit Andersen,7
Poul Carit Andersen. Robert Storm Petersen,1
Poul Carit. Andersen,2
Poul E. Andersen,1
Poul Gerhard Andersen,1
Poul Gerhard. Andersen,1
Poul M.Fl. Andersen,2
Poul Martin Mã¸Ller,1
Poul Martin Møller,2
Poul Nyboe Andersen,3
Poul O. Andersen,3
Poul Og Solveig Schmidt. Andersen,1
Poul-Gerh. Andersen,3
Poul-Gerhard Andersen,21
Poul-Gerhard. Andersen,1
Poul. Andersen,5
Poul. Anderson,1
Poul. Gernes,2
Prideaux John Selby,1
Professor E A Wallis Budge,2
Ptrovna Blavatsky,1
R Etzensberger,2
R. Bretnor,2
R. Kent Rasmussen,1
R.A./ Mcintoshk Lafferty,2
Rachel Carson,21
Rachel Wetzsteon,3
Ralph Waldo Emerson,22
Ramsey Campbell,18
Randall Garrett,2
Random House Value Publishing Staff,2
Ray Bradbury,42
Ray Bradbury / John D. Macdonald / Henry Kuttner,3
Ray Bradbury L. Ron Hubbard,1
Ray Cummings,1
Ray Errol / Gardner Fox,1
Ray Palmer,1
Raymond A. Palmer,9
Raymond C. Moore,1
Raymond C. Palmer,2
Raymond L. Lee,2
Raymond Palmer,6
Recopilacion: Kurt Singer. August Derleth,1
Rice Burroughs,10
Richard / De Camp Shaver,1
Richard A. Lupoff,1
Richard B. Sewall,2
Richard F. Outcault. With A New Introduction By August Derleth,1
Richard Hardwick,1
Richard Hicks,1
Richard K. Lyon Andrew J. Offutt,1
Richard L. Loughlin,1
Richard Lancelyn Green,2
Richard Lancelyn Green Arthur Conan Doyle,5
Richard Matheson,2
Richard S Shaver,2
Richard S. Shaver,5
Richard S. Shaver T. P. Caravan,1
Richard S. Shaver Walter M. Miller Jr.,1
Richard S. Weinstein Gordon R. Dickson,3
Richard Sharpe,1
Richard Shaver,7
Richard Voss,6
Ripley'S Believe It Or Not,1
Rita M. Ransohoff,1
Robert,1
Robert A Heinlein,1
Robert A. Heinlein,3
Robert A. Lowndes,1
Robert A.W. Lowndes,1
Robert Arthur,4
Robert Bloch,28
Robert Bloch Anonymous Anthology) [Algernon Blackwood,3
Robert Bloch Edited By Dorothy Mcilwraith With Stories By Theodore Sturgeon,1
Robert Bloch Intros By Ray Bradbury,1
Robert Bloch Isaac Asimov,1
Robert C. Moellering David N. Gilbert,5
Robert Donald Spector Charles Dickens,4
Robert E Howard,3
Robert E.,2
Robert E. / Brackett Howard,1
Robert E. / De Maupasant Howard,1
Robert E. / Derleth Howard,1
Robert E. Howard,29
Robert E. Howard / Leigh Brackett,3
Robert E. Howard // August Derleth,3
Robert E. Howard/Leigh Brackett,1
Robert E. Margroff,2
Robert E./Brackett Howard,1
Robert Editors) Authors: Bloch,1
Robert F. Young,1
Robert Giraud,1
Robert Hoskins,2
Robert Louis Stevenson,1
Robert Louis Stevenson Mary Wollstonecraft Shelley,2
Robert Moore / Brackett Williams,1
Robert Moore Williams,5
Robert Moore Williams A E Van Vogt,1
Robert N. Linscott,2
Robert Reed,1
Robert Saffron,3
Robert Silverberg,8
Robert Smith Candlish,2
Robert Storm Petersen / Poul Carit Andersens Værløse / Tegneren Robert Storm Petersens Museumsfond,1
Robin Roberts,8
Roger,1
Roger / Leinster Zelazny,1
Roger B Goodman,2
Roger Elwood,7
Roger Grenier Collectif,1
Roger Zelazny,40
Rollo L.,1
Rollo L. Lyman Howard C.,1
Ron Goulart Robert F. Young,1
Ron Goulart Written By Gardner F Fox,1
Ross Rocklynne,4
Roy G. Krenkel,2
Rozanne Lanczak Williams,1
Rudolph Dirks,2
Rudyard Kipling,4
Rupert Hughes,27
S. H. Butcher,1
Saki,1
Sam Jr. Merwin,3
Sam Moskowitz,4
Samuel Butler Aristotle,1
Samuel Katz,1
Samuel Klarreich James L. Francek,1
Samuel Loveman,1
Samuel Mines,3
Science Fiction,2
Scott-Elliot W.,1
Scott-Elliot William,2
Selected By Helen Mcneil,3
Seth Grahame-Smith,4
Shaver-Richard,1
Shelley Moore Thomas,2
Shelley Peterson,1
Shelley Sparknotes,2
Sherlock). Derleth Holmes,1
Sherry R. Arnstein Alan A. Altshuler,2
Sister Mariella Gable,1
Skagen,2
Sonya Dorman,1
Sophia Lane Poole,7
Sophie Hannah,3
Sophocles,1
Soverign Falconer,1
Sprague De Camp,1
Sprague De Camp L. Und Lin Carter,1
Stanley Dehler Mayer,1
Stanley G Weinbaum,1
Stanley Mullen,1
Stanton Coblentz With) Clare Winger Harris,1
Starring),1
Startling Mystery Stories),1
Startling Stories,1
Stephanie Bond Vicki Lewis Thompson,2
Stephanie Emily Dickinson,1
Stephen Barr,3
Stephen Crane,3
Stephen Grendon,1
Stephen Marlowe,1
Sterling E. Lanier,1
Steve Journal. Eisner,1
Steve Keels,3
Steven R. Pliszka Caryn L. Carlson,1
Stories As Selected By Actor Christopher Lee,3
Stories By H.P. Lovecraft,1
Storm Petersen,6
Stuart J. Byrne Richard S. Shaver,1
Stuart Moore,10
Super Science Stories),2
Suzanne Church,1
Sydney Van Scyoc,1
Søren H. Andersen,1
T. S. Eliot,28
T.S. Eliot,1
Tanith Lee,2
Tanya Barnard,5
Ted Thomas,1
Ted White,6
Terry Carr,7
The Reverend J. G. Wood,1
Theodore Enslin,1
Theodore Sturgeon,8
Theodore Sturgeon Robert A. Heinlein,2
Thoma Bulfinch,1
Thomas,3
Thomas / Ralph Waldo Emerson Carlyle,2
Thomas Bovie Bulfinch,1
Thomas Bulfinch,624
Thomas Bulfinch.,3
Thomas Bulfinch. Illustrated By Federico Castellon,1
Thomas Bulfinch].,1
Thomas Burnett Swann,5
Thomas Floyd Edgar Rice Burroughs,1
Thomas Godfrey,3
Thomas H. Johnson,3
Thomas M'Crie,2
Thomas Malory,23
Thomas Mccrie,1
Thomas Moore,4
Thomas Stanley William Hayter Bulfinch,2
Thomas Swann,1
Thomas Thomas Bulfinch Bulfinch,1
Thomas With J Loughran Scott Editor Bulfinch,1
Thomas) Bulfinch,1
Thomas. Bulfinch,19
Thomas. Forward By Robert Graves Bulfinch,2
Thomas/ Budin Bulfinch,1
Thongor,1
Thorkil Kristensen,1
Thorp Mcclusky,1
Thrilling Wonder Stories),1
Tom Alvarez,1
Tom Godwin,4
Tom Goodwin,2
Translator),1
Trevor Cook,1
Ultimate Publishing Co.,3
Unknown Unknown,1
Valdemar Andersen,2
Valdemar] Andersen Andersen,1
Van Vogt,1
Vance Jack,1
Vardis Fisher,1
Vc Ghidalia,1
Vic Ghidalia,7
Vilhelm Andersen Poul Martin Mã¸Ller,1
Vincent Buranelli,1
Vincent Difate,3
Vincent Persichetti,1
Vincent Sheean,1
Vincent Sheehan,2
Virgil Finlay,1
Virginia Loh-Hagan,1
Volume 8 Doyle Sherlock Holmes. Le Signe Des Quatre,1
Von Daniken,2
W. Scott Elliot,1
W. Scott-Elliot,1
W. W. Robson Arthur Conan Doyle,2
Wallace Stevens,2
Wallace West,9
Wallace West L Ron Hubbard,1
Wallis Budge,54
Wallis Budge E A,1
Wallis Budge E. A.,1
Wallis Budge E.A.,2
Wallis E. A. Budge,1
Wallis E.A. Budge,1
Wallis Sir Budge,2
Wallis-Budge,4
Wallis. Budge,2
Walt Disney Enterprises Staff Edgar Rice Burroughs,1
Walt Whitman,23
Walt Whitman Edgar Allan Poe,3
Walter B. Rideout.,1
Walter Copland Perry/Thomas Bulfinch,1
Walter Farley,1
Walter M. Derleth Miller,1
Walter Miller,4
Walter Scott Amelia B. Edwards,5
Webb Holly,1
Weird Tales: Edmond Hamilton,1
Wellman Brian W. Aldiss,1
Welsh Storytellers,1
Whit Burnett,1
Whitman Kipling,1
Wilkie Collins,9
Will Barnet,1
Willa Reid,1
William Blake,17
William Blake Trask,1
William Boyce,1
William Carlos Williams,1
William Carroll,1
William F. Burger Gary L. Musser,2
William F. Temple,1
William Faulkner,30
William G. Elliot Jr. Leslie M. Scott,1
William Garden Blaikie Andrew Crichton,1
William Gibson,1
William Hope Hodgson,15
William Jardine,2
William Jardine Robert Hermann Schomburgk,1
William L. Hamling,1
William Morris,1
William P. Mcgivern,1
William Scott Elliot,2
William Scott-Elliot,1
William Shakespeare,30
William Swainson,2
William Temple,1
William Tenn,2
William Tenn Fritz Leiber Jr.,2
William. Memoir Of Aristotle By Andrew Crichton. Jardine,1
William. Memoir Of Bruce By Andrew Crichton. Swainson,1
William. Memoir Of Le Vaillant By Andrew Crichton. Swainson,1
Winsor Mccay,1
With August Derleth,2
Wonder Stories),1
Writing As David Grinnell),1
Ying )Arthur Conan Doyle,1
Zenna / Leiber Henderson,1
